Voltage U1	Corriente IA
0.02	0.40
0.04	0.36
0.07	0.44
0.09	0.41
0.12	0.47
0.14	0.38
0.17	0.48
0.19	0.39
0.21	0.51
0.24	0.41
0.26	0.49
0.29	0.41
0.31	0.51
0.34	0.44
0.36	0.52
0.39	0.40
0.41	0.50
0.43	0.43
0.46	0.51
0.48	0.45
0.51	0.51
0.53	0.43
0.56	0.50
0.58	0.43
0.61	0.51
0.63	0.45
0.65	0.47
0.68	0.41
0.70	0.45
0.73	0.42
0.75	0.48
0.78	0.43
0.80	0.44
0.83	0.39
0.85	0.42
0.87	0.43
0.90	0.46
0.92	0.45
0.95	0.45
0.97	0.44
1.00	0.45
1.02	0.47
1.05	0.48
1.07	0.49
1.09	0.44
1.12	0.45
1.14	0.42
1.17	0.47
1.19	0.45
1.22	0.49
1.24	0.43
1.26	0.49
1.29	0.45
1.31	0.52
1.34	0.49
1.36	0.54
1.39	0.45
1.41	0.50
1.44	0.42
1.46	0.49
1.48	0.42
1.51	0.46
1.53	0.39
1.56	0.46
1.58	0.40
1.61	0.50
1.63	0.42
1.66	0.49
1.68	0.43
1.70	0.52
1.73	0.44
1.75	0.53
1.78	0.44
1.80	0.54
1.83	0.43
1.85	0.50
1.88	0.41
1.90	0.50
1.92	0.40
1.95	0.51
1.97	0.42
2.00	0.53
2.02	0.46
2.05	0.53
2.07	0.46
2.10	0.54
2.12	0.44
2.14	0.53
2.17	0.43
2.19	0.49
2.22	0.42
2.24	0.47
2.27	0.42
2.29	0.48
2.31	0.42
2.34	0.49
2.36	0.42
2.39	0.47
2.41	0.46
2.44	0.51
2.46	0.48
2.49	0.50
2.51	0.44
2.53	0.48
2.56	0.48
2.58	0.48
2.61	0.47
2.63	0.45
2.66	0.43
2.68	0.46
2.71	0.48
2.73	0.49
2.75	0.49
2.78	0.45
2.80	0.49
2.83	0.47
2.85	0.49
2.88	0.48
2.90	0.49
2.93	0.43
2.95	0.47
2.97	0.40
3.00	0.48
3.02	0.43
3.05	0.47
3.07	0.42
3.10	0.47
3.12	0.41
3.15	0.51
3.17	0.44
3.19	0.51
3.22	0.42
3.24	0.49
3.27	0.43
3.29	0.51
3.32	0.41
3.34	0.50
3.36	0.40
3.39	0.48
3.41	0.41
3.44	0.51
3.46	0.42
3.49	0.51
3.51	0.40
3.54	0.52
3.56	0.44
3.58	0.52
3.61	0.44
3.63	0.50
3.66	0.41
3.68	0.51
3.71	0.41
3.73	0.49
3.76	0.39
3.78	0.46
3.80	0.41
3.83	0.49
3.85	0.42
3.88	0.51
3.90	0.42
3.93	0.50
3.95	0.45
3.98	0.51
4.00	0.46
4.02	0.51
4.05	0.43
4.07	0.49
4.10	0.45
4.12	0.51
4.15	0.46
4.17	0.47
4.20	0.43
4.22	0.46
4.24	0.46
4.27	0.51
4.29	0.49
4.32	0.49
4.34	0.47
4.37	0.46
4.39	0.47
4.42	0.47
4.44	0.46
4.46	0.43
4.49	0.42
4.51	0.40
4.54	0.47
4.56	0.46
4.59	0.49
4.61	0.45
4.63	0.48
4.66	0.44
4.68	0.51
4.71	0.45
4.73	0.50
4.76	0.43
4.78	0.46
4.81	0.42
4.83	0.50
4.85	0.44
4.88	0.51
4.90	0.42
4.93	0.50
4.95	0.44
4.98	0.51
5.00	0.46
5.03	0.53
5.05	0.44
5.07	0.53
5.10	0.42
5.12	0.51
5.15	0.43
5.17	0.51
5.20	0.42
5.22	0.50
5.25	0.40
5.27	0.52
5.29	0.42
5.32	0.49
5.34	0.41
5.37	0.50
5.39	0.44
5.42	0.52
5.44	0.42
5.47	0.51
5.49	0.44
5.51	0.52
5.54	0.45
5.56	0.50
5.59	0.41
5.61	0.49
5.64	0.43
5.66	0.49
5.68	0.43
5.71	0.46
5.73	0.43
5.76	0.49
5.78	0.45
5.81	0.51
5.83	0.45
5.86	0.47
5.88	0.43
5.90	0.45
5.93	0.44
5.95	0.46
5.98	0.45
6.00	0.46
6.03	0.44
6.05	0.45
6.08	0.48
6.10	0.49
6.12	0.50
6.15	0.47
6.17	0.47
6.20	0.46
6.22	0.50
6.25	0.47
6.27	0.51
6.30	0.43
6.32	0.45
6.34	0.41
6.37	0.47
6.39	0.43
6.42	0.47
6.44	0.38
6.47	0.48
6.49	0.43
6.52	0.51
6.54	0.45
6.56	0.50
6.59	0.41
6.61	0.48
6.64	0.39
6.66	0.49
6.69	0.40
6.71	0.47
6.73	0.40
6.76	0.48
6.78	0.41
6.81	0.51
6.83	0.42
6.86	0.52
6.88	0.43
6.91	0.52
6.93	0.44
6.95	0.52
6.98	0.43
7.00	0.52
7.03	0.41
7.05	0.50
7.08	0.42
7.10	0.50
7.13	0.42
7.15	0.50
7.17	0.41
7.20	0.55
7.22	0.47
7.25	0.54
7.27	0.45
7.30	0.49
7.32	0.43
7.35	0.51
7.37	0.41
7.39	0.47
7.42	0.39
7.44	0.45
7.47	0.44
7.49	0.49
7.52	0.45
7.54	0.48
7.57	0.43
7.59	0.47
7.61	0.47
7.64	0.49
7.66	0.47
7.69	0.46
7.71	0.43
7.74	0.45
7.76	0.44
7.78	0.45
7.81	0.45
7.83	0.43
7.86	0.44
7.88	0.44
7.91	0.47
7.93	0.50
7.96	0.52
7.98	0.47
8.00	0.49
8.03	0.45
8.05	0.52
8.08	0.49
8.10	0.51
8.13	0.44
8.15	0.48
8.18	0.44
8.20	0.53
8.22	0.46
8.25	0.51
8.27	0.43
8.30	0.50
8.32	0.44
8.35	0.52
8.37	0.43
8.40	0.51
8.42	0.42
8.44	0.50
8.47	0.44
8.49	0.52
8.52	0.42
8.54	0.52
8.57	0.42
8.59	0.51
8.62	0.42
8.64	0.50
8.66	0.43
8.69	0.52
8.71	0.42
8.74	0.52
8.76	0.44
8.79	0.53
8.81	0.44
8.84	0.50
8.86	0.42
8.88	0.50
8.91	0.42
8.93	0.50
8.96	0.40
8.98	0.48
9.01	0.43
9.03	0.51
9.05	0.45
9.08	0.51
9.10	0.42
9.13	0.49
9.15	0.44
9.18	0.51
9.20	0.47
9.23	0.47
9.25	0.41
9.27	0.46
9.30	0.44
9.32	0.49
9.35	0.46
9.37	0.44
9.40	0.44
9.42	0.46
9.45	0.46
9.47	0.48
9.49	0.46
9.52	0.45
9.54	0.45
9.57	0.44
9.59	0.48
9.62	0.46
9.64	0.48
9.67	0.44
9.69	0.46
9.71	0.43
9.74	0.50
9.76	0.46
9.79	0.51
9.81	0.44
9.84	0.48
9.86	0.44
9.89	0.52
9.91	0.45
9.93	0.53
9.96	0.44
9.98	0.51
10.01	0.45
10.03	0.52
10.06	0.46
10.08	0.53
10.10	0.43
