Voltage U1	Corriente IA
0.02	0.62
0.04	0.60
0.07	0.55
0.09	0.55
0.12	0.54
0.14	0.53
0.17	0.50
0.19	0.50
0.21	0.51
0.24	0.56
0.26	0.56
0.29	0.52
0.31	0.54
0.34	0.51
0.36	0.57
0.39	0.56
0.41	0.57
0.43	0.51
0.46	0.53
0.48	0.49
0.51	0.59
0.53	0.53
0.56	0.57
0.58	0.49
0.61	0.54
0.63	0.50
0.65	0.58
0.68	0.50
0.70	0.56
0.73	0.49
0.75	0.56
0.78	0.50
0.80	0.57
0.83	0.50
0.85	0.58
0.87	0.49
0.90	0.57
0.92	0.49
0.95	0.58
0.97	0.53
1.00	0.61
1.02	0.51
1.05	0.61
1.07	0.52
1.09	0.61
1.12	0.51
1.14	0.58
1.17	0.49
1.19	0.57
1.22	0.48
1.24	0.58
1.26	0.48
1.29	0.56
1.31	0.48
1.34	0.57
1.36	0.50
1.39	0.57
1.41	0.48
1.44	0.55
1.46	0.50
1.48	0.57
1.51	0.51
1.53	0.54
1.56	0.47
1.58	0.53
1.61	0.50
1.63	0.57
1.66	0.52
1.68	0.54
1.70	0.51
1.73	0.56
1.75	0.55
1.78	0.60
1.80	0.55
1.83	0.55
1.85	0.53
1.88	0.54
1.90	0.55
1.92	0.54
1.95	0.52
1.97	0.51
2.00	0.51
2.02	0.49
2.05	0.53
2.07	0.53
2.10	0.57
2.12	0.52
2.14	0.53
2.17	0.51
2.19	0.57
2.22	0.53
2.24	0.57
2.27	0.48
2.29	0.52
2.31	0.50
2.34	0.56
2.36	0.52
2.39	0.57
2.41	0.48
2.44	0.57
2.46	0.50
2.49	0.57
2.51	0.50
2.53	0.56
2.56	0.48
2.58	0.56
2.61	0.48
2.63	0.58
2.66	0.50
2.68	0.59
2.71	0.51
2.73	0.59
2.75	0.49
2.78	0.60
2.80	0.50
2.83	0.59
2.85	0.48
2.88	0.57
2.90	0.49
2.93	0.58
2.95	0.47
2.97	0.57
3.00	0.47
3.02	0.57
3.05	0.49
3.07	0.57
3.10	0.49
3.12	0.55
3.15	0.47
3.17	0.58
3.19	0.50
3.22	0.56
3.24	0.48
3.27	0.54
3.29	0.50
3.32	0.57
3.34	0.50
3.36	0.55
3.39	0.48
3.41	0.52
3.44	0.51
3.46	0.56
3.49	0.51
3.51	0.52
3.54	0.48
3.56	0.52
3.58	0.53
3.61	0.54
3.63	0.53
3.66	0.52
3.68	0.52
3.71	0.53
3.73	0.55
3.76	0.55
3.78	0.57
3.80	0.52
3.83	0.55
3.85	0.53
3.88	0.57
3.90	0.56
3.93	0.58
3.95	0.51
3.98	0.57
4.00	0.52
4.02	0.58
4.05	0.52
4.07	0.57
4.10	0.50
4.12	0.54
4.15	0.48
4.17	0.56
4.20	0.50
4.22	0.57
4.24	0.49
4.27	0.56
4.29	0.50
4.32	0.60
4.34	0.51
4.37	0.59
4.39	0.50
4.42	0.58
4.44	0.50
4.46	0.61
4.49	0.51
4.51	0.59
4.54	0.50
4.56	0.60
4.59	0.52
4.61	0.61
4.63	0.52
4.66	0.60
4.68	0.50
4.71	0.60
4.73	0.51
4.76	0.58
4.78	0.49
4.81	0.56
4.83	0.49
4.85	0.56
4.88	0.48
4.90	0.56
4.93	0.48
4.95	0.54
4.98	0.49
5.00	0.57
5.03	0.52
5.05	0.57
5.07	0.50
5.10	0.55
5.12	0.52
5.15	0.57
5.17	0.53
5.20	0.54
5.22	0.50
5.25	0.52
5.27	0.52
5.29	0.57
5.32	0.55
5.34	0.53
5.37	0.53
5.39	0.52
5.42	0.55
5.44	0.55
5.47	0.55
5.49	0.51
5.51	0.50
5.54	0.48
5.56	0.54
5.59	0.49
5.61	0.52
5.64	0.47
5.66	0.51
5.68	0.50
5.71	0.57
5.73	0.52
5.76	0.59
5.78	0.51
5.81	0.56
5.83	0.50
5.86	0.57
5.88	0.50
5.90	0.58
5.93	0.49
5.95	0.58
5.98	0.51
6.00	0.60
6.03	0.53
6.05	0.61
6.08	0.50
6.10	0.58
6.12	0.49
6.15	0.58
6.17	0.49
6.20	0.57
6.22	0.47
6.25	0.57
6.27	0.48
6.30	0.60
6.32	0.49
6.34	0.57
6.37	0.50
6.39	0.61
6.42	0.53
6.44	0.61
6.47	0.50
6.49	0.60
6.52	0.52
6.54	0.59
6.56	0.51
6.59	0.58
6.61	0.50
6.64	0.59
6.66	0.54
6.69	0.62
6.71	0.55
6.73	0.59
6.76	0.55
6.78	0.59
6.81	0.54
6.83	0.60
6.86	0.53
6.88	0.55
6.91	0.52
6.93	0.53
6.95	0.54
6.98	0.56
7.00	0.53
7.03	0.54
7.05	0.51
7.08	0.51
7.10	0.54
7.13	0.55
7.15	0.55
7.17	0.52
7.20	0.53
7.22	0.54
7.25	0.59
7.27	0.58
7.30	0.61
7.32	0.55
7.35	0.57
7.37	0.55
7.39	0.61
7.42	0.56
7.44	0.59
7.47	0.51
7.49	0.58
7.52	0.55
7.54	0.61
7.57	0.56
7.59	0.61
7.61	0.53
7.64	0.61
7.66	0.54
7.69	0.61
7.71	0.53
7.74	0.60
7.76	0.52
7.78	0.60
7.81	0.52
7.83	0.63
7.86	0.55
7.88	0.64
7.91	0.54
7.93	0.63
7.96	0.55
7.98	0.64
8.00	0.53
8.03	0.62
8.05	0.51
8.08	0.61
8.10	0.56
8.13	0.64
8.15	0.54
8.18	0.61
8.20	0.53
8.22	0.64
8.25	0.56
8.27	0.59
8.30	0.52
8.32	0.58
8.35	0.53
8.37	0.60
8.40	0.53
8.42	0.59
8.44	0.53
8.47	0.58
8.49	0.56
8.52	0.61
8.54	0.56
8.57	0.60
8.59	0.55
8.62	0.60
8.64	0.59
8.66	0.62
8.69	0.61
8.71	0.62
8.74	0.57
8.76	0.58
8.79	0.57
8.81	0.58
8.84	0.61
8.86	0.57
8.88	0.57
8.91	0.57
8.93	0.63
8.96	0.63
8.98	0.66
9.01	0.57
9.03	0.61
9.05	0.57
9.08	0.63
9.10	0.56
9.13	0.60
9.15	0.52
9.18	0.58
9.20	0.53
9.23	0.62
9.25	0.55
9.27	0.64
9.30	0.58
9.32	0.65
9.35	0.59
9.37	0.68
9.40	0.60
9.42	0.68
9.45	0.60
9.47	0.66
9.49	0.58
9.52	0.67
9.54	0.58
9.57	0.70
9.59	0.60
9.62	0.69
9.64	0.60
9.67	0.69
9.69	0.62
9.71	0.70
9.74	0.58
9.76	0.69
9.79	0.59
9.81	0.68
9.84	0.58
9.86	0.64
9.89	0.57
9.91	0.66
9.93	0.58
9.96	0.67
9.98	0.58
10.01	0.65
10.03	0.62
10.06	0.69
10.08	0.64
10.10	0.68
10.13	0.61
10.15	0.66
10.18	0.64
10.20	0.67
10.23	0.64
10.25	0.66
10.28	0.62
10.30	0.68
10.32	0.66
10.35	0.70
10.37	0.67
10.40	0.66
10.42	0.67
10.45	0.68
10.47	0.68
10.50	0.71
10.52	0.69
10.54	0.65
10.57	0.65
10.59	0.62
10.62	0.66
10.64	0.63
10.67	0.66
10.69	0.62
10.72	0.67
10.74	0.65
10.76	0.73
10.79	0.68
10.81	0.73
10.84	0.66
10.86	0.71
10.89	0.65
10.91	0.73
10.94	0.64
10.96	0.70
10.98	0.60
11.01	0.69
11.03	0.63
11.06	0.72
11.08	0.64
11.11	0.73
11.13	0.64
11.15	0.76
11.18	0.67
11.20	0.76
11.23	0.67
11.25	0.74
11.28	0.63
11.30	0.72
11.33	0.62
11.35	0.72
11.37	0.62
11.40	0.70
11.42	0.63
11.45	0.73
11.47	0.65
11.50	0.76
11.52	0.67
11.55	0.75
11.57	0.68
11.59	0.77
11.62	0.69
11.64	0.76
11.67	0.66
11.69	0.74
11.72	0.68
11.74	0.76
11.77	0.69
11.79	0.73
11.81	0.68
11.84	0.73
11.86	0.69
11.89	0.78
11.91	0.73
11.94	0.75
11.96	0.72
11.99	0.73
12.01	0.72
12.03	0.75
12.06	0.71
12.08	0.73
12.11	0.70
12.13	0.71
12.16	0.76
12.18	0.77
12.21	0.77
12.23	0.76
12.25	0.76
12.28	0.76
12.30	0.80
12.33	0.78
12.35	0.81
12.38	0.76
12.40	0.77
12.42	0.75
12.45	0.80
12.47	0.76
12.50	0.81
12.52	0.74
12.55	0.79
12.57	0.75
12.60	0.83
12.62	0.80
12.64	0.86
12.67	0.78
12.69	0.86
12.72	0.77
12.74	0.86
12.77	0.78
12.79	0.85
12.82	0.77
12.84	0.84
12.86	0.75
12.89	0.88
12.91	0.80
12.94	0.89
12.96	0.81
12.99	0.90
13.01	0.83
13.04	0.92
13.06	0.82
13.08	0.91
13.11	0.82
13.13	0.89
13.16	0.83
13.18	0.89
13.21	0.80
13.23	0.88
13.26	0.79
13.28	0.88
13.30	0.82
13.33	0.87
13.35	0.82
13.38	0.90
13.40	0.85
13.43	0.94
13.45	0.86
13.47	0.90
13.50	0.84
13.52	0.88
13.55	0.85
13.57	0.89
13.60	0.84
13.62	0.88
13.65	0.84
13.67	0.88
13.69	0.89
13.72	0.92
13.74	0.92
13.77	0.93
13.79	0.91
13.82	0.92
13.84	0.93
13.87	0.93
13.89	0.94
13.91	0.89
13.94	0.90
13.96	0.87
13.99	0.92
14.01	0.92
14.04	0.94
14.06	0.88
14.09	0.94
14.11	0.91
14.13	0.98
14.16	0.94
14.18	0.95
14.21	0.88
14.23	0.94
14.26	0.87
14.28	0.95
14.31	0.87
14.33	0.93
14.35	0.87
14.38	0.95
14.40	0.89
14.43	0.99
14.45	0.90
14.48	0.98
14.50	0.89
14.52	0.97
14.55	0.89
14.57	0.97
14.60	0.88
14.62	0.98
14.65	0.87
14.67	0.96
14.70	0.87
14.72	0.96
14.74	0.88
14.77	0.96
14.79	0.86
14.82	0.99
14.84	0.92
14.87	0.99
14.89	0.90
14.92	0.95
14.94	0.88
14.96	0.97
14.99	0.88
15.01	0.94
15.04	0.84
15.06	0.90
15.09	0.87
15.11	0.95
15.14	0.89
15.16	0.93
15.18	0.87
15.21	0.95
15.23	0.93
15.26	0.98
15.28	0.93
15.31	0.95
15.33	0.90
15.36	0.95
