Voltage U1	Corriente IA
0.02	0.62
0.04	0.60
0.07	0.52
0.09	0.51
0.12	0.44
0.14	0.47
0.17	0.42
0.19	0.46
0.21	0.39
0.24	0.46
0.26	0.38
0.29	0.43
0.31	0.40
0.34	0.44
0.36	0.41
0.39	0.47
0.41	0.42
0.43	0.48
0.46	0.42
0.48	0.46
0.51	0.45
0.53	0.47
0.56	0.46
0.58	0.49
0.61	0.44
0.63	0.49
0.65	0.51
0.68	0.52
0.70	0.55
0.73	0.56
0.75	0.54
0.78	0.60
0.80	0.61
0.83	0.61
0.85	0.64
0.87	0.62
0.90	0.61
0.92	0.64
0.95	0.66
0.97	0.67
1.00	0.68
1.02	0.63
1.05	0.67
1.07	0.63
1.09	0.64
1.12	0.61
1.14	0.61
1.17	0.56
1.19	0.60
1.22	0.55
1.24	0.60
1.26	0.57
1.29	0.60
1.31	0.54
1.34	0.60
1.36	0.53
1.39	0.59
1.41	0.54
1.44	0.58
1.46	0.50
1.48	0.56
1.51	0.49
1.53	0.55
1.56	0.48
1.58	0.53
1.61	0.45
1.63	0.52
1.66	0.45
1.68	0.50
1.70	0.45
1.73	0.49
1.75	0.41
1.78	0.49
1.80	0.42
1.83	0.49
1.85	0.43
1.88	0.48
1.90	0.42
1.92	0.49
1.95	0.42
1.97	0.47
2.00	0.39
2.02	0.44
2.05	0.40
2.07	0.47
2.10	0.43
2.12	0.49
2.14	0.45
2.17	0.52
2.19	0.51
2.22	0.55
2.24	0.56
2.27	0.60
2.29	0.56
2.31	0.63
2.34	0.65
2.36	0.66
2.39	0.69
2.41	0.67
2.44	0.65
2.46	0.69
2.49	0.67
2.51	0.65
2.53	0.64
2.56	0.62
2.58	0.62
2.61	0.60
2.63	0.61
2.66	0.61
2.68	0.65
2.71	0.61
2.73	0.60
2.75	0.57
2.78	0.64
2.80	0.60
2.83	0.61
2.85	0.56
2.88	0.61
2.90	0.58
2.93	0.64
2.95	0.59
2.97	0.62
3.00	0.56
3.02	0.61
3.05	0.56
3.07	0.61
3.10	0.53
3.12	0.58
3.15	0.49
3.17	0.56
3.19	0.49
3.22	0.54
3.24	0.49
3.27	0.52
3.29	0.45
3.32	0.55
3.34	0.46
3.36	0.52
3.39	0.47
3.41	0.50
3.44	0.45
3.46	0.50
3.49	0.40
3.51	0.47
3.54	0.41
3.56	0.45
3.58	0.41
3.61	0.46
3.63	0.43
3.66	0.49
3.68	0.41
3.71	0.47
3.73	0.44
3.76	0.49
3.78	0.49
3.80	0.52
3.83	0.47
3.85	0.55
3.88	0.56
3.90	0.60
3.93	0.61
3.95	0.61
3.98	0.58
4.00	0.61
4.02	0.61
4.05	0.61
4.07	0.61
4.10	0.59
4.12	0.58
4.15	0.61
4.17	0.64
4.20	0.60
4.22	0.60
4.24	0.61
4.27	0.60
4.29	0.57
4.32	0.60
4.34	0.59
4.37	0.65
4.39	0.61
4.42	0.61
4.44	0.58
4.46	0.64
4.49	0.62
4.51	0.64
4.54	0.59
4.56	0.64
4.59	0.57
4.61	0.64
4.63	0.58
4.66	0.62
4.68	0.54
4.71	0.61
4.73	0.54
4.76	0.62
4.78	0.55
4.81	0.59
4.83	0.52
4.85	0.59
4.88	0.49
4.90	0.56
4.93	0.47
4.95	0.51
4.98	0.46
5.00	0.52
5.03	0.45
5.05	0.51
5.07	0.45
5.10	0.51
5.12	0.44
5.15	0.48
5.17	0.41
5.20	0.46
5.22	0.40
5.25	0.46
5.27	0.41
5.29	0.48
5.32	0.46
5.34	0.51
5.37	0.47
5.39	0.53
5.42	0.49
5.44	0.56
5.47	0.52
5.49	0.53
5.51	0.48
5.54	0.52
5.56	0.51
5.59	0.53
5.61	0.54
5.64	0.58
5.66	0.56
5.68	0.60
5.71	0.64
5.73	0.65
5.76	0.66
5.78	0.64
5.81	0.62
5.83	0.65
5.86	0.69
5.88	0.67
5.90	0.67
5.93	0.63
5.95	0.65
5.98	0.65
6.00	0.66
6.03	0.63
6.05	0.64
6.08	0.60
6.10	0.65
6.12	0.59
6.15	0.62
6.17	0.59
6.20	0.63
6.22	0.57
6.25	0.64
6.27	0.57
6.30	0.65
6.32	0.58
6.34	0.61
6.37	0.53
6.39	0.58
6.42	0.50
6.44	0.57
6.47	0.50
6.49	0.55
6.52	0.49
6.54	0.56
6.56	0.49
6.59	0.55
6.61	0.47
6.64	0.52
6.66	0.45
6.69	0.52
6.71	0.46
6.73	0.51
6.76	0.46
6.78	0.50
6.81	0.43
6.83	0.51
6.86	0.44
6.88	0.48
6.91	0.43
6.93	0.47
6.95	0.42
6.98	0.48
7.00	0.43
7.03	0.48
7.05	0.42
7.08	0.47
7.10	0.47
7.13	0.51
7.15	0.52
7.17	0.56
7.20	0.49
7.22	0.56
7.25	0.56
7.27	0.57
7.30	0.59
7.32	0.59
7.35	0.54
7.37	0.60
7.39	0.61
7.42	0.60
7.44	0.65
7.47	0.64
7.49	0.63
7.52	0.68
7.54	0.71
7.57	0.73
7.59	0.75
7.61	0.70
7.64	0.72
7.66	0.68
7.69	0.71
7.71	0.68
7.74	0.69
7.76	0.65
7.78	0.69
7.81	0.64
7.83	0.72
7.86	0.68
7.88	0.70
7.91	0.64
7.93	0.68
7.96	0.61
7.98	0.67
8.00	0.61
8.03	0.64
8.05	0.57
8.08	0.60
8.10	0.55
8.13	0.59
8.15	0.52
8.18	0.58
8.20	0.52
8.22	0.60
8.25	0.54
8.27	0.59
8.30	0.56
8.32	0.60
8.35	0.53
8.37	0.59
8.40	0.50
8.42	0.55
8.44	0.50
8.47	0.52
8.49	0.46
8.52	0.52
8.54	0.44
8.57	0.50
8.59	0.44
8.62	0.48
8.64	0.46
8.66	0.52
8.69	0.48
8.71	0.54
8.74	0.48
8.76	0.56
8.79	0.53
8.81	0.55
8.84	0.56
8.86	0.58
8.88	0.53
8.91	0.60
8.93	0.60
8.96	0.63
8.98	0.65
9.01	0.65
9.03	0.65
9.05	0.71
9.08	0.70
9.10	0.71
9.13	0.70
9.15	0.69
9.18	0.67
9.20	0.69
9.23	0.70
9.25	0.68
9.27	0.69
9.30	0.67
9.32	0.70
9.35	0.68
9.37	0.73
9.40	0.71
9.42	0.75
9.45	0.70
9.47	0.73
9.49	0.67
9.52	0.73
9.54	0.67
9.57	0.70
9.59	0.62
9.62	0.68
9.64	0.63
9.67	0.70
9.69	0.64
9.71	0.66
9.74	0.59
9.76	0.69
9.79	0.62
9.81	0.67
9.84	0.61
9.86	0.64
9.89	0.57
9.91	0.64
9.93	0.53
9.96	0.60
9.98	0.54
10.01	0.57
10.03	0.52
10.06	0.59
10.08	0.50
10.10	0.59
10.13	0.52
10.15	0.57
10.18	0.52
10.20	0.58
10.23	0.51
10.25	0.57
10.28	0.51
10.30	0.57
10.32	0.50
10.35	0.56
10.37	0.52
10.40	0.57
10.42	0.53
10.45	0.58
10.47	0.55
10.50	0.64
10.52	0.63
10.54	0.66
10.57	0.61
10.59	0.66
10.62	0.66
10.64	0.69
10.67	0.67
10.69	0.66
10.72	0.64
10.74	0.69
10.76	0.72
10.79	0.73
10.81	0.74
10.84	0.74
10.86	0.73
10.89	0.76
10.91	0.78
10.94	0.74
10.96	0.77
10.98	0.75
11.01	0.75
11.03	0.75
11.06	0.77
11.08	0.77
11.11	0.81
11.13	0.75
11.15	0.78
11.18	0.73
11.20	0.76
11.23	0.76
11.25	0.78
11.28	0.70
11.30	0.77
11.33	0.69
11.35	0.75
11.37	0.72
11.40	0.73
11.42	0.67
11.45	0.72
11.47	0.65
11.50	0.74
11.52	0.69
11.55	0.72
11.57	0.66
11.59	0.73
11.62	0.66
11.64	0.72
11.67	0.63
11.69	0.68
11.72	0.62
11.74	0.68
11.77	0.60
11.79	0.65
11.81	0.60
11.84	0.67
11.86	0.60
11.89	0.68
11.91	0.59
11.94	0.65
11.96	0.63
11.99	0.68
12.01	0.62
12.03	0.69
12.06	0.62
12.08	0.69
12.11	0.64
12.13	0.67
12.16	0.65
12.18	0.68
12.21	0.65
12.23	0.70
12.25	0.65
12.28	0.72
12.30	0.71
12.33	0.73
12.35	0.76
12.38	0.80
12.40	0.77
12.42	0.82
12.45	0.81
12.47	0.82
12.50	0.87
12.52	0.83
12.55	0.81
12.57	0.85
12.60	0.88
12.62	0.87
12.64	0.90
12.67	0.85
12.69	0.93
12.72	0.90
12.74	0.91
12.77	0.91
12.79	0.94
12.82	0.89
12.84	0.92
12.86	0.83
12.89	0.89
12.91	0.85
12.94	0.85
12.96	0.81
12.99	0.84
13.01	0.78
13.04	0.83
13.06	0.80
13.08	0.86
13.11	0.80
13.13	0.86
13.16	0.81
13.18	0.89
13.21	0.84
13.23	0.88
13.26	0.79
13.28	0.85
13.30	0.80
13.33	0.84
13.35	0.78
13.38	0.83
13.40	0.75
13.43	0.87
13.45	0.79
13.47	0.83
13.50	0.80
13.52	0.84
13.55	0.77
13.57	0.84
13.60	0.74
13.62	0.81
13.65	0.74
13.67	0.78
13.69	0.74
13.72	0.80
13.74	0.76
13.77	0.83
13.79	0.76
13.82	0.82
13.84	0.79
13.87	0.84
13.89	0.82
13.91	0.85
13.94	0.79
13.96	0.88
13.99	0.86
14.01	0.89
14.04	0.90
14.06	0.94
14.09	0.90
14.11	0.96
14.13	0.95
14.16	1.00
14.18	1.00
14.21	0.99
14.23	0.96
14.26	1.00
14.28	1.02
14.31	1.00
14.33	1.00
14.35	1.00
14.38	0.99
14.40	0.99
14.43	1.01
14.45	1.01
14.48	1.04
14.50	1.00
14.52	1.01
14.55	0.99
14.57	1.03
14.60	1.02
14.62	1.04
14.65	0.98
14.67	1.03
14.70	0.99
14.72	1.02
14.74	0.97
14.77	0.99
14.79	0.92
14.82	0.99
14.84	0.93
14.87	0.98
14.89	0.95
14.92	1.01
14.94	0.92
14.96	1.00
14.99	0.91
15.01	0.97
15.04	0.90
15.06	0.93
15.09	0.86
15.11	0.93
15.14	0.83
15.16	0.90
15.18	0.83
15.21	0.88
15.23	0.82
15.26	0.89
15.28	0.82
15.31	0.88
15.33	0.81
15.36	0.86
