Voltage U1	Corriente IA
0.02	0.62
0.04	0.60
0.07	0.52
0.09	0.53
0.12	0.46
0.14	0.51
0.17	0.44
0.19	0.50
0.21	0.46
0.24	0.51
0.26	0.45
0.29	0.48
0.31	0.41
0.34	0.45
0.36	0.44
0.39	0.48
0.41	0.46
0.43	0.46
0.46	0.44
0.48	0.47
0.51	0.49
0.53	0.49
0.56	0.50
0.58	0.48
0.61	0.47
0.63	0.47
0.65	0.50
0.68	0.49
0.70	0.51
0.73	0.44
0.75	0.47
0.78	0.45
0.80	0.50
0.83	0.47
0.85	0.50
0.87	0.43
0.90	0.49
0.92	0.44
0.95	0.51
0.97	0.44
1.00	0.50
1.02	0.42
1.05	0.47
1.07	0.41
1.09	0.50
1.12	0.43
1.14	0.51
1.17	0.42
1.19	0.49
1.22	0.44
1.24	0.54
1.26	0.44
1.29	0.52
1.31	0.43
1.34	0.52
1.36	0.46
1.39	0.52
1.41	0.43
1.44	0.51
1.46	0.41
1.48	0.51
1.51	0.43
1.53	0.50
1.56	0.43
1.58	0.50
1.61	0.43
1.63	0.53
1.66	0.45
1.68	0.51
1.70	0.42
1.73	0.48
1.75	0.44
1.78	0.49
1.80	0.43
1.83	0.48
1.85	0.42
1.88	0.47
1.90	0.44
1.92	0.49
1.95	0.45
1.97	0.47
2.00	0.42
2.02	0.46
2.05	0.45
2.07	0.48
2.10	0.48
2.12	0.48
2.14	0.46
2.17	0.46
2.19	0.48
2.22	0.50
2.24	0.50
2.27	0.45
2.29	0.46
2.31	0.45
2.34	0.49
2.36	0.47
2.39	0.48
2.41	0.43
2.44	0.46
2.46	0.42
2.49	0.50
2.51	0.44
2.53	0.48
2.56	0.43
2.58	0.48
2.61	0.43
2.63	0.51
2.66	0.44
2.68	0.52
2.71	0.44
2.73	0.50
2.75	0.42
2.78	0.51
2.80	0.44
2.83	0.53
2.85	0.44
2.88	0.52
2.90	0.44
2.93	0.54
2.95	0.46
2.97	0.54
3.00	0.43
3.02	0.53
3.05	0.42
3.07	0.51
3.10	0.41
3.12	0.49
3.15	0.40
3.17	0.49
3.19	0.41
3.22	0.51
3.24	0.41
3.27	0.49
3.29	0.44
3.32	0.53
3.34	0.46
3.36	0.52
3.39	0.44
3.41	0.52
3.44	0.46
3.46	0.52
3.49	0.45
3.51	0.50
3.54	0.44
3.56	0.51
3.58	0.49
3.61	0.54
3.63	0.50
3.66	0.51
3.68	0.48
3.71	0.51
3.73	0.48
3.76	0.51
3.78	0.48
3.80	0.47
3.83	0.46
3.85	0.45
3.88	0.48
3.90	0.48
3.93	0.48
3.95	0.46
3.98	0.45
4.00	0.42
4.02	0.48
4.05	0.46
4.07	0.49
4.10	0.44
4.12	0.47
4.15	0.45
4.17	0.52
4.20	0.45
4.22	0.49
4.24	0.41
4.27	0.48
4.29	0.45
4.32	0.52
4.34	0.45
4.37	0.53
4.39	0.45
4.42	0.54
4.44	0.47
4.46	0.53
4.49	0.46
4.51	0.52
4.54	0.43
4.56	0.51
4.59	0.41
4.61	0.51
4.63	0.42
4.66	0.50
4.68	0.42
4.71	0.50
4.73	0.41
4.76	0.53
4.78	0.44
4.81	0.52
4.83	0.44
4.85	0.53
4.88	0.46
4.90	0.54
4.93	0.42
4.95	0.50
4.98	0.42
5.00	0.50
5.03	0.46
5.05	0.52
5.07	0.45
5.10	0.51
5.12	0.46
5.15	0.55
5.17	0.48
5.20	0.48
5.22	0.43
5.25	0.48
5.27	0.45
5.29	0.50
5.32	0.45
5.34	0.47
5.37	0.43
5.39	0.46
5.42	0.47
5.44	0.49
5.47	0.47
5.49	0.48
5.51	0.46
5.54	0.48
5.56	0.50
5.59	0.49
5.61	0.50
5.64	0.47
5.66	0.46
5.68	0.44
5.71	0.49
5.73	0.46
5.76	0.52
5.78	0.45
5.81	0.50
5.83	0.47
5.86	0.53
5.88	0.50
5.90	0.54
5.93	0.44
5.95	0.51
5.98	0.44
6.00	0.52
6.03	0.45
6.05	0.50
6.08	0.41
6.10	0.49
6.12	0.41
6.15	0.51
6.17	0.43
6.20	0.51
6.22	0.45
6.25	0.54
6.27	0.46
6.30	0.56
6.32	0.47
6.34	0.56
6.37	0.46
6.39	0.51
6.42	0.44
6.44	0.52
6.47	0.42
6.49	0.52
6.52	0.44
6.54	0.53
6.56	0.47
6.59	0.53
6.61	0.47
6.64	0.54
6.66	0.45
6.69	0.53
6.71	0.45
6.73	0.50
6.76	0.43
6.78	0.47
6.81	0.44
6.83	0.49
6.86	0.43
6.88	0.48
6.91	0.43
6.93	0.48
6.95	0.48
6.98	0.52
7.00	0.50
7.03	0.52
7.05	0.48
7.08	0.51
7.10	0.51
7.13	0.50
7.15	0.50
7.17	0.47
7.20	0.45
7.22	0.46
7.25	0.49
7.27	0.49
7.30	0.51
7.32	0.46
7.35	0.50
7.37	0.48
7.39	0.52
7.42	0.49
7.44	0.50
7.47	0.44
7.49	0.48
7.52	0.42
7.54	0.49
7.57	0.43
7.59	0.47
7.61	0.41
7.64	0.47
7.66	0.42
7.69	0.52
7.71	0.45
7.74	0.54
7.76	0.45
7.78	0.53
7.81	0.45
7.83	0.54
7.86	0.43
7.88	0.52
7.91	0.41
7.93	0.51
7.96	0.42
7.98	0.52
8.00	0.43
8.03	0.52
8.05	0.42
8.08	0.53
8.10	0.45
8.13	0.54
8.15	0.46
8.18	0.51
8.20	0.42
8.22	0.52
8.25	0.44
8.27	0.51
8.30	0.40
8.32	0.47
8.35	0.44
8.37	0.51
8.40	0.44
8.42	0.51
8.44	0.43
8.47	0.51
8.49	0.48
8.52	0.53
8.54	0.49
8.57	0.52
8.59	0.45
8.62	0.50
8.64	0.47
8.66	0.50
8.69	0.48
8.71	0.49
8.74	0.47
8.76	0.49
8.79	0.49
8.81	0.55
8.84	0.54
8.86	0.52
8.88	0.51
8.91	0.48
8.93	0.51
8.96	0.50
8.98	0.49
9.01	0.45
9.03	0.46
9.05	0.43
9.08	0.51
9.10	0.48
9.13	0.52
9.15	0.48
9.18	0.52
9.20	0.49
9.23	0.57
9.25	0.51
9.27	0.56
9.30	0.49
9.32	0.53
9.35	0.47
9.37	0.54
9.40	0.47
9.42	0.54
9.45	0.45
9.47	0.53
9.49	0.46
9.52	0.55
9.54	0.51
9.57	0.58
9.59	0.49
9.62	0.58
9.64	0.48
9.67	0.57
9.69	0.48
9.71	0.53
9.74	0.44
9.76	0.53
9.79	0.44
9.81	0.55
9.84	0.46
9.86	0.53
9.89	0.47
9.91	0.56
9.93	0.49
9.96	0.57
9.98	0.47
10.01	0.55
10.03	0.48
10.06	0.56
10.08	0.49
10.10	0.53
10.13	0.46
10.15	0.53
10.18	0.48
10.20	0.55
10.23	0.49
10.25	0.51
10.28	0.50
10.30	0.54
10.32	0.53
10.35	0.57
10.37	0.51
10.40	0.53
10.42	0.50
10.45	0.50
10.47	0.51
10.50	0.51
10.52	0.52
10.54	0.53
10.57	0.51
10.59	0.50
10.62	0.54
10.64	0.54
10.67	0.57
10.69	0.51
10.72	0.52
10.74	0.51
10.76	0.57
10.79	0.54
10.81	0.58
10.84	0.50
10.86	0.54
10.89	0.51
10.91	0.57
10.94	0.52
10.96	0.58
10.98	0.50
11.01	0.60
11.03	0.53
11.06	0.61
11.08	0.54
11.11	0.58
11.13	0.50
11.15	0.59
11.18	0.49
11.20	0.59
11.23	0.49
11.25	0.58
11.28	0.52
11.30	0.60
11.33	0.51
11.35	0.62
11.37	0.53
11.40	0.63
11.42	0.55
11.45	0.64
11.47	0.55
11.50	0.64
11.52	0.54
11.55	0.63
11.57	0.54
11.59	0.63
11.62	0.55
11.64	0.63
11.67	0.55
11.69	0.63
11.72	0.57
11.74	0.68
11.77	0.61
11.79	0.66
11.81	0.60
11.84	0.65
11.86	0.61
11.89	0.66
11.91	0.58
11.94	0.62
11.96	0.55
11.99	0.59
12.01	0.58
12.03	0.61
12.06	0.57
12.08	0.60
12.11	0.57
12.13	0.61
12.16	0.62
12.18	0.63
12.21	0.63
12.23	0.61
12.25	0.60
12.28	0.61
12.30	0.63
12.33	0.62
12.35	0.65
12.38	0.60
12.40	0.64
12.42	0.62
12.45	0.67
12.47	0.66
12.50	0.69
12.52	0.63
12.55	0.67
12.57	0.61
12.60	0.69
12.62	0.63
12.64	0.67
12.67	0.59
12.69	0.64
12.72	0.59
12.74	0.68
12.77	0.60
12.79	0.68
12.82	0.60
12.84	0.69
12.86	0.63
12.89	0.72
12.91	0.63
12.94	0.71
12.96	0.62
12.99	0.70
13.01	0.62
13.04	0.70
13.06	0.62
13.08	0.71
13.11	0.61
13.13	0.71
13.16	0.63
13.18	0.72
13.21	0.64
13.23	0.72
13.26	0.63
13.28	0.74
13.30	0.65
13.33	0.73
13.35	0.64
13.38	0.71
13.40	0.66
13.43	0.73
13.45	0.67
13.47	0.72
13.50	0.64
13.52	0.71
13.55	0.68
13.57	0.74
13.60	0.70
13.62	0.73
13.65	0.67
13.67	0.72
13.69	0.70
13.72	0.73
13.74	0.71
13.77	0.70
13.79	0.68
13.82	0.70
13.84	0.71
13.87	0.74
13.89	0.75
13.91	0.72
13.94	0.73
13.96	0.72
13.99	0.76
14.01	0.75
14.04	0.76
14.06	0.71
14.09	0.72
14.11	0.70
14.13	0.77
14.16	0.72
14.18	0.76
14.21	0.71
14.23	0.77
14.26	0.73
14.28	0.81
14.31	0.75
14.33	0.82
14.35	0.74
14.38	0.80
14.40	0.74
14.43	0.82
14.45	0.74
14.48	0.83
14.50	0.75
14.52	0.83
14.55	0.76
14.57	0.84
14.60	0.76
14.62	0.85
14.65	0.74
14.67	0.82
14.70	0.74
14.72	0.83
14.74	0.76
14.77	0.84
14.79	0.75
14.82	0.85
14.84	0.77
14.87	0.86
14.89	0.75
14.92	0.82
14.94	0.76
14.96	0.85
14.99	0.77
15.01	0.83
15.04	0.75
15.06	0.84
15.09	0.78
15.11	0.84
15.14	0.79
15.16	0.85
15.18	0.79
15.21	0.86
15.23	0.83
15.26	0.89
15.28	0.84
15.31	0.86
15.33	0.83
15.36	0.86
