Voltage U1	Corriente IA
0.02	0.43
0.04	0.42
0.07	0.50
0.09	0.50
0.12	0.60
0.14	0.52
0.17	0.61
0.19	0.53
0.21	0.62
0.24	0.55
0.26	0.63
0.29	0.51
0.31	0.59
0.34	0.48
0.36	0.56
0.39	0.48
0.41	0.55
0.43	0.46
0.46	0.55
0.48	0.47
0.51	0.58
0.53	0.49
0.56	0.57
0.58	0.50
0.61	0.60
0.63	0.54
0.65	0.61
0.68	0.51
0.70	0.60
0.73	0.53
0.75	0.59
0.78	0.53
0.80	0.58
0.83	0.50
0.85	0.57
0.87	0.52
0.90	0.59
0.92	0.54
0.95	0.57
0.97	0.53
1.00	0.59
1.02	0.55
1.05	0.60
1.07	0.56
1.09	0.58
1.12	0.54
1.14	0.54
1.17	0.53
1.19	0.56
1.22	0.54
1.24	0.52
1.26	0.50
1.29	0.50
1.31	0.55
1.34	0.56
1.36	0.56
1.39	0.54
1.41	0.55
1.44	0.53
1.46	0.59
1.48	0.55
1.51	0.58
1.53	0.51
1.56	0.54
1.58	0.51
1.61	0.58
1.63	0.53
1.66	0.58
1.68	0.50
1.70	0.58
1.73	0.53
1.75	0.61
1.78	0.55
1.80	0.58
1.83	0.51
1.85	0.58
1.88	0.51
1.90	0.59
1.92	0.50
1.95	0.57
1.97	0.51
2.00	0.58
2.02	0.48
2.05	0.60
2.07	0.51
2.10	0.60
2.12	0.51
2.14	0.60
2.17	0.51
2.19	0.61
2.22	0.49
2.24	0.58
2.27	0.47
2.29	0.57
2.31	0.48
2.34	0.56
2.36	0.46
2.39	0.55
2.41	0.46
2.44	0.60
2.46	0.52
2.49	0.58
2.51	0.50
2.53	0.56
2.56	0.49
2.58	0.57
2.61	0.48
2.63	0.54
2.66	0.46
2.68	0.52
2.71	0.51
2.73	0.57
2.75	0.52
2.78	0.56
2.80	0.51
2.83	0.56
2.85	0.54
2.88	0.57
2.90	0.54
2.93	0.55
2.95	0.51
2.97	0.53
3.00	0.52
3.02	0.54
3.05	0.56
3.07	0.54
3.10	0.52
3.12	0.51
3.15	0.55
3.17	0.57
3.19	0.59
3.22	0.52
3.24	0.53
3.27	0.49
3.29	0.55
3.32	0.52
3.34	0.54
3.36	0.48
3.39	0.51
3.41	0.48
3.44	0.58
3.46	0.52
3.49	0.57
3.51	0.51
3.54	0.56
3.56	0.51
3.58	0.60
3.61	0.53
3.63	0.60
3.66	0.52
3.68	0.59
3.71	0.52
3.73	0.60
3.76	0.52
3.78	0.60
3.80	0.51
3.83	0.59
3.85	0.49
3.88	0.58
3.90	0.53
3.93	0.62
3.95	0.52
3.98	0.61
4.00	0.50
4.02	0.61
4.05	0.52
4.07	0.58
4.10	0.50
4.12	0.58
4.15	0.50
4.17	0.61
4.20	0.52
4.22	0.58
4.24	0.53
4.27	0.60
4.29	0.54
4.32	0.60
4.34	0.51
4.37	0.57
4.39	0.52
4.42	0.58
4.44	0.52
4.46	0.56
4.49	0.49
4.51	0.53
4.54	0.50
4.56	0.56
4.59	0.51
4.61	0.53
4.63	0.52
4.66	0.55
4.68	0.54
4.71	0.59
4.73	0.53
4.76	0.54
4.78	0.51
4.81	0.50
4.83	0.52
4.85	0.52
4.88	0.51
4.90	0.52
4.93	0.51
4.95	0.50
4.98	0.54
5.00	0.53
5.03	0.56
5.05	0.51
5.07	0.53
5.10	0.51
5.12	0.57
5.15	0.53
5.17	0.58
5.20	0.49
5.22	0.53
5.25	0.49
5.27	0.56
5.29	0.51
5.32	0.56
5.34	0.47
5.37	0.58
5.39	0.52
5.42	0.60
5.44	0.53
5.47	0.58
5.49	0.49
5.51	0.57
5.54	0.47
5.56	0.57
5.59	0.48
5.61	0.57
5.64	0.49
5.66	0.59
5.68	0.50
5.71	0.59
5.73	0.49
5.76	0.59
5.78	0.49
5.81	0.58
5.83	0.50
5.86	0.59
5.88	0.50
5.90	0.58
5.93	0.47
5.95	0.56
5.98	0.48
6.00	0.55
6.03	0.47
6.05	0.55
6.08	0.47
6.10	0.60
6.12	0.54
6.15	0.60
6.17	0.52
6.20	0.56
6.22	0.51
6.25	0.57
6.27	0.49
6.30	0.52
6.32	0.46
6.34	0.51
6.37	0.51
6.39	0.56
6.42	0.52
6.44	0.53
6.47	0.49
6.49	0.52
6.52	0.51
6.54	0.54
6.56	0.51
6.59	0.51
6.61	0.50
6.64	0.52
6.66	0.54
6.69	0.55
6.71	0.57
6.73	0.55
6.76	0.57
6.78	0.55
6.81	0.59
6.83	0.59
6.86	0.61
6.88	0.55
6.91	0.57
6.93	0.52
6.95	0.60
6.98	0.55
7.00	0.58
7.03	0.52
7.05	0.55
7.08	0.50
7.10	0.58
7.13	0.51
7.15	0.57
7.17	0.49
7.20	0.56
7.22	0.52
7.25	0.62
7.27	0.53
7.30	0.61
7.32	0.53
7.35	0.61
7.37	0.54
7.39	0.61
7.42	0.53
7.44	0.61
7.47	0.52
7.49	0.61
7.52	0.53
7.54	0.62
7.57	0.54
7.59	0.62
7.61	0.53
7.64	0.63
7.66	0.54
7.69	0.63
7.71	0.55
7.74	0.62
7.76	0.54
7.78	0.61
7.81	0.53
7.83	0.62
7.86	0.52
7.88	0.60
7.91	0.54
7.93	0.62
7.96	0.57
7.98	0.62
8.00	0.54
8.03	0.60
8.05	0.55
8.08	0.61
8.10	0.57
8.13	0.59
8.15	0.54
8.18	0.59
8.20	0.57
8.22	0.62
8.25	0.58
8.27	0.58
8.30	0.56
8.32	0.58
8.35	0.57
8.37	0.60
8.40	0.58
8.42	0.57
8.44	0.57
8.47	0.56
8.49	0.61
8.52	0.59
8.54	0.61
8.57	0.57
8.59	0.60
8.62	0.57
8.64	0.63
8.66	0.58
8.69	0.64
8.71	0.58
8.74	0.61
8.76	0.56
8.79	0.64
8.81	0.58
8.84	0.66
8.86	0.57
8.88	0.63
8.91	0.59
8.93	0.67
8.96	0.61
8.98	0.69
9.01	0.59
9.03	0.69
9.05	0.61
9.08	0.69
9.10	0.62
9.13	0.68
9.15	0.58
9.18	0.67
9.20	0.58
9.23	0.67
9.25	0.58
9.27	0.65
9.30	0.58
9.32	0.68
9.35	0.59
9.37	0.70
9.40	0.61
9.42	0.70
9.45	0.63
9.47	0.71
9.49	0.65
9.52	0.72
9.54	0.63
9.57	0.72
9.59	0.65
9.62	0.74
9.64	0.67
9.67	0.72
9.69	0.66
9.71	0.72
9.74	0.66
9.76	0.74
9.79	0.66
9.81	0.70
9.84	0.65
9.86	0.69
9.89	0.66
9.91	0.71
9.93	0.66
9.96	0.70
9.98	0.66
10.01	0.69
10.03	0.69
10.06	0.71
10.08	0.70
10.10	0.70
10.13	0.68
10.15	0.68
10.18	0.69
10.20	0.70
10.23	0.72
10.25	0.68
10.28	0.67
10.30	0.68
10.32	0.74
10.35	0.73
10.37	0.75
10.40	0.68
10.42	0.72
10.45	0.69
10.47	0.73
10.50	0.69
10.52	0.73
10.54	0.66
10.57	0.73
10.59	0.68
10.62	0.76
10.64	0.69
10.67	0.75
10.69	0.68
10.72	0.74
10.74	0.67
10.76	0.78
