Voltage U1	Corriente IA
0.02	0.53
0.04	0.53
0.07	0.51
0.09	0.50
0.12	0.49
0.14	0.52
0.17	0.46
0.19	0.53
0.21	0.53
0.24	0.54
0.26	0.58
0.29	0.60
0.31	0.57
0.34	0.63
0.36	0.63
0.39	0.64
0.41	0.67
0.43	0.64
0.46	0.64
0.48	0.65
0.51	0.66
0.53	0.65
0.56	0.66
0.58	0.63
0.61	0.64
0.63	0.60
0.65	0.65
0.68	0.62
0.70	0.63
0.73	0.59
0.75	0.62
0.78	0.56
0.80	0.63
0.83	0.59
0.85	0.64
0.87	0.59
0.90	0.62
0.92	0.56
0.95	0.62
0.97	0.57
1.00	0.61
1.02	0.54
1.05	0.61
1.07	0.55
1.09	0.61
1.12	0.55
1.14	0.59
1.17	0.51
1.19	0.57
1.22	0.48
1.24	0.53
1.26	0.48
1.29	0.52
1.31	0.45
1.34	0.52
1.36	0.44
1.39	0.51
1.41	0.44
1.44	0.48
1.46	0.42
1.48	0.47
1.51	0.40
1.53	0.46
1.56	0.41
1.58	0.47
1.61	0.43
1.63	0.49
1.66	0.46
1.68	0.52
1.70	0.46
1.73	0.53
1.75	0.51
1.78	0.55
1.80	0.54
1.83	0.58
1.85	0.53
1.88	0.58
1.90	0.57
1.92	0.60
1.95	0.61
1.97	0.61
2.00	0.58
2.02	0.62
2.05	0.63
2.07	0.62
2.10	0.62
2.12	0.61
2.14	0.59
2.17	0.60
2.19	0.64
2.22	0.63
2.24	0.66
2.27	0.63
2.29	0.65
2.31	0.64
2.34	0.68
2.36	0.64
2.39	0.66
2.41	0.60
2.44	0.63
2.46	0.60
2.49	0.65
2.51	0.60
2.53	0.63
2.56	0.56
2.58	0.64
2.61	0.58
2.63	0.62
2.66	0.55
2.68	0.59
2.71	0.51
2.73	0.58
2.75	0.49
2.78	0.54
2.80	0.49
2.83	0.53
2.85	0.48
2.88	0.53
2.90	0.45
2.93	0.53
2.95	0.47
2.97	0.51
3.00	0.45
3.02	0.49
3.05	0.43
3.07	0.49
3.10	0.42
3.12	0.46
3.15	0.40
3.17	0.46
3.19	0.43
3.22	0.48
3.24	0.42
3.27	0.48
3.29	0.44
3.32	0.52
3.34	0.47
3.36	0.50
3.39	0.46
3.41	0.52
3.44	0.50
3.46	0.54
3.49	0.52
3.51	0.57
3.54	0.52
3.56	0.56
3.58	0.59
3.61	0.60
3.63	0.61
3.66	0.62
3.68	0.58
3.71	0.63
3.73	0.65
3.76	0.63
3.78	0.64
3.80	0.62
3.83	0.60
3.85	0.61
3.88	0.64
3.90	0.63
3.93	0.67
3.95	0.63
3.98	0.66
4.00	0.62
4.02	0.67
4.05	0.66
4.07	0.68
4.10	0.61
4.12	0.63
4.15	0.56
4.17	0.62
4.20	0.57
4.22	0.58
4.24	0.50
4.27	0.56
4.29	0.52
4.32	0.60
4.34	0.55
4.37	0.59
4.39	0.54
4.42	0.61
4.44	0.55
4.46	0.61
4.49	0.54
4.51	0.58
4.54	0.51
4.56	0.57
4.59	0.49
4.61	0.53
4.63	0.47
4.66	0.53
4.68	0.47
4.71	0.54
4.73	0.46
4.76	0.51
