Voltage U1	Corriente IA
0,02	0,43
0,04	0,40
0,07	0,38
0,09	0,38
0,12	0,40
0,14	0,38
0,17	0,41
0,19	0,41
0,21	0,43
0,24	0,44
0,26	0,42
0,29	0,37
0,31	0,38
0,34	0,34
0,36	0,38
0,39	0,35
0,41	0,36
0,43	0,34
0,46	0,37
0,48	0,34
0,51	0,40
0,53	0,35
0,56	0,39
0,58	0,35
0,61	0,39
0,63	0,34
0,65	0,39
0,68	0,33
0,70	0,39
0,73	0,32
0,75	0,38
0,78	0,34
0,80	0,40
0,83	0,35
0,85	0,42
0,87	0,34
0,90	0,43
0,92	0,36
0,95	0,42
0,97	0,36
1,00	0,39
1,02	0,33
1,05	0,41
1,07	0,34
1,09	0,40
1,12	0,33
1,14	0,37
1,17	0,35
1,19	0,40
1,22	0,35
1,24	0,41
1,26	0,35
1,29	0,40
1,31	0,37
1,34	0,41
1,36	0,38
1,39	0,40
1,41	0,35
1,44	0,40
1,46	0,36
1,48	0,40
1,51	0,37
1,53	0,38
1,56	0,36
1,58	0,38
1,61	0,37
1,63	0,43
1,66	0,41
1,68	0,40
1,70	0,39
1,73	0,38
1,75	0,40
1,78	0,40
1,80	0,38
1,83	0,36
1,85	0,36
1,88	0,34
1,90	0,39
1,92	0,37
1,95	0,39
1,97	0,36
2,00	0,39
2,02	0,38
2,05	0,43
2,07	0,37
2,10	0,41
2,12	0,35
2,14	0,39
2,17	0,37
2,19	0,39
2,22	0,34
2,24	0,40
2,27	0,34
2,29	0,40
2,31	0,34
2,34	0,38
2,36	0,37
2,39	0,41
2,41	0,34
2,44	0,40
2,46	0,34
2,49	0,41
2,51	0,36
2,53	0,40
2,56	0,34
2,58	0,40
2,61	0,34
2,63	0,40
2,66	0,33
2,68	0,38
2,71	0,33
2,73	0,39
2,75	0,34
2,78	0,40
2,80	0,33
2,83	0,38
2,85	0,35
2,88	0,40
2,90	0,37
2,93	0,39
2,95	0,34
2,97	0,38
3,00	0,36
3,02	0,40
3,05	0,37
3,07	0,38
3,10	0,37
3,12	0,40
3,15	0,38
3,17	0,40
3,19	0,37
3,22	0,37
3,24	0,36
3,27	0,36
3,29	0,38
3,32	0,37
3,34	0,37
3,36	0,36
3,39	0,36
3,41	0,35
3,44	0,38
3,46	0,36
3,49	0,39
3,51	0,36
3,54	0,37
3,56	0,36
3,58	0,40
3,61	0,34
3,63	0,38
3,66	0,31
3,68	0,35
3,71	0,32
3,73	0,37
3,76	0,33
3,78	0,39
3,80	0,33
3,83	0,41
3,85	0,35
3,88	0,40
3,90	0,35
3,93	0,40
3,95	0,35
3,98	0,40
4,00	0,34
4,02	0,41
4,05	0,34
4,07	0,39
4,10	0,34
4,12	0,40
4,15	0,34
4,17	0,41
4,20	0,34
4,22	0,41
4,24	0,36
4,27	0,41
4,29	0,36
4,32	0,41
4,34	0,35
4,37	0,42
4,39	0,36
4,42	0,41
4,44	0,37
4,46	0,41
4,49	0,36
4,51	0,40
4,54	0,36
4,56	0,42
4,59	0,38
4,61	0,40
4,63	0,36
4,66	0,39
4,68	0,38
4,71	0,41
4,73	0,38
4,76	0,38
4,78	0,34
4,81	0,34
4,83	0,34
4,85	0,35
4,88	0,36
4,90	0,36
4,93	0,36
4,95	0,38
4,98	0,41
5,00	0,40
5,03	0,41
5,05	0,37
5,07	0,39
5,10	0,38
5,12	0,42
5,15	0,39
5,17	0,42
5,20	0,37
5,22	0,43
5,25	0,39
5,27	0,43
5,29	0,39
5,32	0,43
5,34	0,37
5,37	0,43
5,39	0,36
5,42	0,41
5,44	0,36
5,47	0,40
5,49	0,34
5,51	0,38
5,54	0,32
5,56	0,40
5,59	0,33
5,61	0,39
5,64	0,34
5,66	0,40
5,68	0,35
5,71	0,42
5,73	0,34
5,76	0,41
5,78	0,34
5,81	0,39
5,83	0,36
5,86	0,41
5,88	0,35
5,90	0,40
5,93	0,36
5,95	0,44
5,98	0,39
6,00	0,42
6,03	0,37
6,05	0,40
6,08	0,36
6,10	0,40
6,12	0,35
6,15	0,37
6,17	0,33
6,20	0,36
6,22	0,36
6,25	0,38
6,27	0,34
6,30	0,38
6,32	0,35
6,34	0,38
6,37	0,37
6,39	0,39
6,42	0,40
6,44	0,40
6,47	0,38
6,49	0,38
6,52	0,39
6,54	0,39
6,56	0,41
6,59	0,38
6,61	0,38
6,64	0,37
6,66	0,40
6,69	0,40
6,71	0,42
6,73	0,37
6,76	0,41
6,78	0,37
6,81	0,41
6,83	0,37
6,86	0,39
6,88	0,34
6,91	0,38
6,93	0,33
6,95	0,40
6,98	0,35
7,00	0,40
7,03	0,37
7,05	0,42
7,08	0,38
7,10	0,44
7,13	0,38
7,15	0,45
7,17	0,38
7,20	0,42
7,22	0,37
7,25	0,42
7,27	0,36
7,30	0,44
7,32	0,37
7,35	0,44
7,37	0,39
7,39	0,44
7,42	0,39
7,44	0,44
7,47	0,36
7,49	0,43
7,52	0,38
7,54	0,42
7,57	0,37
7,59	0,41
7,61	0,37
7,64	0,42
7,66	0,38
7,69	0,42
7,71	0,38
7,74	0,42
7,76	0,41
7,78	0,45
7,81	0,42
7,83	0,44
7,86	0,39
7,88	0,43
7,91	0,42
7,93	0,43
7,96	0,42
7,98	0,41
8,00	0,39
8,03	0,42
8,05	0,43
8,08	0,43
8,10	0,43
8,13	0,39
8,15	0,42
8,18	0,42
8,20	0,43
8,22	0,43
8,25	0,44
8,27	0,40
8,30	0,44
8,32	0,41
8,35	0,45
8,37	0,42
8,40	0,45
8,42	0,42
8,44	0,45
8,47	0,41
8,49	0,48
8,52	0,43
8,54	0,48
8,57	0,43
8,59	0,48
8,62	0,43
8,64	0,49
8,66	0,41
8,69	0,47
8,71	0,40
8,74	0,45
8,76	0,41
8,79	0,47
8,81	0,42
8,84	0,48
8,86	0,43
8,88	0,51
8,91	0,45
8,93	0,50
8,96	0,44
8,98	0,47
9,01	0,41
9,03	0,47
9,05	0,40
9,08	0,46
9,10	0,40
9,13	0,44
9,15	0,42
9,18	0,48
9,20	0,43
9,23	0,48
9,25	0,42
9,27	0,46
9,30	0,45
9,32	0,49
9,35	0,46
9,37	0,48
9,40	0,43
9,42	0,47
9,45	0,46
9,47	0,47
9,49	0,47
9,52	0,47
9,54	0,46
9,57	0,47
9,59	0,47
9,62	0,50
9,64	0,51
9,67	0,46
9,69	0,47
9,71	0,45
9,74	0,47
9,76	0,47
9,79	0,47
