Posicion;Conteos;Posicion;Conteos;;;;;;;;;;;;;
0;39;0;39;;;;;;;;;;;;;
0.1;44;1;53;;;;;;;;;;;;;
1.5;60;1.1;73;;;;;;;;;;;;;
1.6;71;1.2;67;;;;;;;;;;;;;
1.7;102;1.3;74;;;;;;;;;;;;;
1.8;104;1.4;89;;;;;;;;;;;;;
1.9;84;1.5;90;;;;;;;;;;;;;
2;62;1.6;93;;;;;;;;;;;;;
2.1;61;1.8;94;;;;;;;;;;;;;
2.2;96;2;106;;;;;;;;;;;;;
2.3;161;2.2;119;;;;;;;;;;;;;
2.35;197;2.4;125;;;;;;;;;;;;;
2.4;212;2.6;123;;;;;;;;;;;;;
2.45;232;2.8;146;;;;;;;;;;;;;
2.5;217;3;130;;;;;;;;;;;;;
2.55;182;3.2;129;;;;;;;;;;;;;
2.6;164;3.4;115;;;;;;;;;;;;;
2.65;128;3.6;107;;;;;;;;;;;;;
2.7;76;3.8;95;;;;;;;;;;;;;
2.75;57;4;84;;;;;;;;;;;;;
2.8;67;4.2;80;;;;;;;;;;;;;
2.85;90;4.4;67;;;;;;;;;;;;;
2.9;143;4.6;74;;;;;;;;;;;;;
2.95;199;4.8;52;;;;;;;;;;;;;
3;268;5;50;;;;;;;;;;;;;
3.05;311;;;;;;;;;;;;;;;
3.1;353;;;;;;;;;;;;;;;
3.15;338;;;;;;;;;;;;;;;
3.2;312;;;;;;;;;;;;;;;
3.25;284;;;;;;;;;;;;;;;
3.3;210;;;;;;;;;;;;;;;
3.35;155;;;;;;;;;;;;;;;
3.4;94;;;;;;;;;;;;;;;
3.45;72;;;;;;;;;;;;;;;
3.5;84;;;;;;;;;;;;;;;
3.55;119;;;;;;;;;;;;;;;
3.6;188;;;;;;;;;;;;;;;
3.65;246;;;;;;;;;;;;;;;
3.7;321;;;;;;;;;;;;;;;
3.75;382;;;;;;;;;;;;;;;
3.8;415;;;;;;;;;;;;;;;
3.85;378;;;;;;;;;;;;;;;
3.9;352;;;;;;;;;;;;;;;
3.95;334;;;;;;;;;;;;;;;
4;236;;;;;;;;;;;;;;;
4.05;146;;;;;;;;;;;;;;;
4.1;106;;;;;;;;;;;;;;;
4.15;96;;;;;;;;;;;;;;;
4.2;77;;;;;;;;;;;;;;;
4.25;123;;;;;;;;;;;;;;;
4.3;179;;;;;;;;;;;;;;;
4.35;260;;;;;;;;;;;;;;;
4.4;318;;;;;;;;;;;;;;;
4.45;345;;;;;;;;;;;;;;;
4.5;389;;;;;;;;;;;;;;;
4.55;347;;;;;;;;;;;;;;;
4.6;303;;;;;;;;;;;;;;;
4.65;249;;;;;;;;;;;;;;;
4.7;188;;;;;;;;;;;;;;;
4.75;152;;;;;;;;;;;;;;;
4.8;105;;;;;;;;;;;;;;;
4.85;75;;;;;;;;;;;;;;;
4.9;92;;;;;;;;;;;;;;;
4.95;117;;;;;;;;;;;;;;;
5;153;;;;;;;;;;;;;;;
5.05;204;;;;;;;;;;;;;;;
5.1;219;;;;;;;;;;;;;;;
5.15;244;;;;;;;;;;;;;;;
5.2;257;;;;;;;;;;;;;;;
5.25;231;;;;;;;;;;;;;;;
5.3;209;;;;;;;;;;;;;;;
5.35;166;;;;;;;;;;;;;;;
5.4;137;;;;;;;;;;;;;;;
5.45;112;;;;;;;;;;;;;;;
5.5;78;;;;;;;;;;;;;;;
5.55;78;;;;;;;;;;;;;;;
5.6;74;;;;;;;;;;;;;;;
5.65;80;;;;;;;;;;;;;;;
5.7;101;;;;;;;;;;;;;;;
5.8;124;;;;;;;;;;;;;;;
5.9;126;;;;;;;;;;;;;;;
5.95;107;;;;;;;;;;;;;;;
6;106;;;;;;;;;;;;;;;
6.1;72;;;;;;;;;;;;;;;
6.2;55;;;;;;;;;;;;;;;
6.3;50;;;;;;;;;;;;;;;
6.4;56;;;;;;;;;;;;;;;
