Voltage U1	Corriente IA
0.02	0.40
0.04	0.38
0.07	0.46
0.09	0.45
0.12	0.53
0.14	0.42
0.17	0.51
0.19	0.44
0.21	0.54
0.24	0.46
0.26	0.55
0.29	0.44
0.31	0.58
0.34	0.49
0.36	0.57
0.39	0.47
0.41	0.52
0.43	0.43
0.46	0.54
0.48	0.44
0.51	0.52
0.53	0.42
0.56	0.49
0.58	0.45
0.61	0.53
0.63	0.45
0.65	0.52
0.68	0.45
0.70	0.53
0.73	0.49
0.75	0.56
0.78	0.52
0.80	0.55
0.83	0.48
0.85	0.53
0.87	0.48
0.90	0.51
0.92	0.48
0.95	0.48
0.97	0.46
1.00	0.49
1.02	0.49
1.05	0.55
1.07	0.54
1.09	0.53
1.12	0.52
1.14	0.49
1.17	0.51
1.19	0.52
1.22	0.50
1.24	0.46
1.26	0.48
1.29	0.46
1.31	0.54
1.34	0.51
1.36	0.55
1.39	0.51
1.41	0.55
1.44	0.51
1.46	0.58
1.48	0.52
1.51	0.57
1.53	0.48
1.56	0.52
1.58	0.48
1.61	0.54
1.63	0.47
1.66	0.55
1.68	0.47
1.70	0.54
1.73	0.47
1.75	0.55
1.78	0.51
1.80	0.58
1.83	0.48
1.85	0.57
1.88	0.47
1.90	0.56
1.92	0.48
1.95	0.54
1.97	0.46
2.00	0.54
2.02	0.45
2.05	0.57
2.07	0.47
2.10	0.54
2.12	0.46
2.14	0.54
2.17	0.47
2.19	0.56
2.22	0.45
2.24	0.53
2.27	0.48
2.29	0.56
2.31	0.50
2.34	0.54
2.36	0.46
2.39	0.54
2.41	0.49
2.44	0.56
2.46	0.50
2.49	0.52
2.51	0.51
2.53	0.56
2.56	0.53
2.58	0.57
2.61	0.51
2.63	0.53
2.66	0.49
2.68	0.49
2.71	0.50
2.73	0.51
2.75	0.49
2.78	0.50
2.80	0.49
2.83	0.49
2.85	0.52
2.88	0.51
2.90	0.54
2.93	0.50
2.95	0.50
2.97	0.47
3.00	0.54
3.02	0.51
3.05	0.55
3.07	0.46
3.10	0.51
3.12	0.48
3.15	0.55
3.17	0.49
3.19	0.55
3.22	0.45
3.24	0.57
3.27	0.51
3.29	0.58
3.32	0.52
3.34	0.57
3.36	0.47
3.39	0.56
3.41	0.46
3.44	0.55
3.46	0.46
3.49	0.53
3.51	0.46
3.54	0.54
3.56	0.44
3.58	0.53
3.61	0.44
