Voltage U1	Corriente IA
0.02	0.48
0.04	0.47
0.07	0.55
0.09	0.56
0.12	0.64
0.14	0.53
0.17	0.63
0.19	0.54
0.21	0.63
0.24	0.53
0.26	0.60
0.29	0.51
0.31	0.59
0.34	0.51
0.36	0.60
0.39	0.51
0.41	0.59
0.43	0.52
0.46	0.61
0.48	0.54
0.51	0.60
0.53	0.51
0.56	0.57
0.58	0.51
0.61	0.58
0.63	0.52
0.65	0.56
0.68	0.50
0.70	0.58
0.73	0.55
0.75	0.60
0.78	0.55
0.80	0.56
0.83	0.53
0.85	0.56
0.87	0.52
0.90	0.56
0.92	0.54
0.95	0.54
0.97	0.52
1.00	0.52
1.02	0.53
1.05	0.55
1.07	0.54
1.09	0.52
1.12	0.51
1.14	0.50
1.17	0.57
1.19	0.55
1.22	0.57
1.24	0.53
1.26	0.54
1.29	0.50
1.31	0.57
1.34	0.51
1.36	0.55
1.39	0.47
1.41	0.52
1.44	0.51
1.46	0.59
1.48	0.53
1.51	0.60
1.53	0.52
1.56	0.61
1.58	0.54
1.61	0.60
1.63	0.53
1.66	0.58
1.68	0.48
1.70	0.56
1.73	0.46
1.75	0.56
1.78	0.48
1.80	0.56
1.83	0.48
1.85	0.57
1.88	0.47
1.90	0.60
1.92	0.51
1.95	0.58
1.97	0.50
2.00	0.59
2.02	0.52
2.05	0.62
2.07	0.48
2.10	0.57
2.12	0.49
2.14	0.58
2.17	0.53
2.19	0.59
2.22	0.50
2.24	0.58
2.27	0.52
2.29	0.63
2.31	0.56
2.34	0.59
2.36	0.52
2.39	0.56
2.41	0.53
2.44	0.58
2.46	0.51
2.49	0.53
2.51	0.48
2.53	0.53
2.56	0.52
2.58	0.54
2.61	0.53
2.63	0.55
2.66	0.54
2.68	0.55
2.71	0.56
2.73	0.58
2.75	0.59
2.78	0.55
2.80	0.52
2.83	0.51
2.85	0.55
2.88	0.54
2.90	0.58
2.93	0.52
2.95	0.56
2.97	0.54
3.00	0.61
3.02	0.60
3.05	0.63
3.07	0.54
3.10	0.61
3.12	0.55
3.15	0.61
3.17	0.54
3.19	0.57
3.22	0.49
3.24	0.56
3.27	0.48
3.29	0.58
3.32	0.52
3.34	0.59
3.36	0.53
3.39	0.61
3.41	0.53
3.44	0.63
3.46	0.54
3.49	0.63
3.51	0.54
3.54	0.60
3.56	0.53
3.58	0.62
3.61	0.51
3.63	0.61
3.66	0.52
3.68	0.60
3.71	0.53
3.73	0.59
3.76	0.52
3.78	0.60
3.80	0.51
3.83	0.61
3.85	0.53
3.88	0.59
3.90	0.51
3.93	0.56
3.95	0.52
3.98	0.59
4.00	0.52
4.02	0.58
4.05	0.52
4.07	0.56
4.10	0.55
4.12	0.59
4.15	0.55
4.17	0.57
4.20	0.52
4.22	0.56
4.24	0.56
4.27	0.56
4.29	0.55
4.32	0.53
4.34	0.52
4.37	0.52
4.39	0.54
4.42	0.55
4.44	0.56
4.46	0.52
4.49	0.56
4.51	0.54
4.54	0.60
4.56	0.56
4.59	0.56
4.61	0.51
4.63	0.55
4.66	0.48
4.68	0.55
4.71	0.49
4.73	0.54
4.76	0.49
4.78	0.56
4.81	0.51
4.83	0.61
4.85	0.54
4.88	0.61
4.90	0.52
4.93	0.58
4.95	0.51
4.98	0.59
5.00	0.49
5.03	0.57
5.05	0.49
5.07	0.57
5.10	0.50
5.12	0.59
5.15	0.51
5.17	0.60
5.20	0.50
5.22	0.62
5.25	0.53
5.27	0.61
5.29	0.52
5.32	0.57
5.34	0.50
5.37	0.59
5.39	0.49
5.42	0.57
5.44	0.48
5.47	0.54
5.49	0.51
5.51	0.58
5.54	0.51
5.56	0.59
5.59	0.51
5.61	0.58
5.64	0.54
5.66	0.60
5.68	0.56
5.71	0.59
5.73	0.51
5.76	0.57
5.78	0.53
5.81	0.58
5.83	0.53
